sampleid	samplingdate	ST
SRR14902605	2020-01-23	ST11
SRR14902606	2020-01-23	ST15
SRR14902607	2020-01-23	ST15
SRR14902608	2020-01-23	ST15
SRR14902609	2020-01-23	ST15
SRR14902610	2020-01-23	ST11
SRR14902611	2020-01-23	ST11
SRR14902612	2020-01-23	ST11
SRR14902613	2020-01-23	ST11
SRR14902614	2020-01-23	ST11
SRR14902615	2020-01-23	ST11
SRR14902616	2020-01-23	ST11
SRR14902617	2020-01-23	ST11
SRR14935850	2018-09-10	ST234
SRR14935852	2018-10-30	ST495
SRR14935872	2018-08-22	ST16
SRR14935969	2019-01-27	ST54
SRR14936052	2018-12-18	ST1507
SRR14936081	2018-05-30	ST17
SRR14936107	2018-11-08	ST788
SRR14936118	2018-11-07	ST20
SRR14936129	2018-10-15	ST20
SRR14936159	2018-06-03	ST14
SRR14936181	2018-04-04	ST995
SRR14936193	2018-03-15	ST983
SRR14936215	2018-02-24	ST30
SRR14936237	2018-02-20	ST20
SRR14936274	2018-02-14	ST1043
SRR14982117	2019-08-02	ST258
SRR14996232	2021-06-02	ST258
SRR14996259	2021-05-25	ST321
SRR15123351	2020-12-28	ST2502
SRR15132467	2015-05-02	ST11
SRR15197808	2015-01-02	ST16
SRR15197809	2016-06-02	ST11
SRR15197810	2016-01-12	ST11
SRR15197812	2017-01-01	ST16
SRR15197813	2015-05-03	ST45
SRR15197814	2017-10-12	ST147
SRR15197816	2017-02-23	ST147
SRR15197817	2016-01-02	ST5605-1LV
SRR15206198	2020-12-15	ST23
SRR15206199	2020-12-14	ST395
SRR15206200	2020-12-01	ST395
SRR15206201	2020-11-30	ST39
SRR15206202	2020-11-20	ST307
SRR15206203	2020-11-16	ST395
SRR15206204	2020-11-18	ST874
SRR15215604	2018-10-16	ST834
SRR15215606	2018-08-03	ST512-1LV
SRR15215608	2018-01-02	ST11
SRR15215611	2018-08-21	ST834
SRR15215612	2018-01-05	ST967
SRR15215613	2018-04-11	ST834
SRR15254030	2019-11-25	ST16
SRR15254742	2019-11-22	ST16
SRR15327870	2018-01-23	ST1967
SRR15340826	2020-10-18	ST86
SRR15340827	2020-10-15	ST592
SRR15340828	2020-10-11	ST5559
SRR15340829	2020-10-25	ST65
SRR15362805	2021-04-22	ST147
SRR15362807	2021-04-20	ST258
SRR15362809	2021-04-22	ST147
SRR15362811	2021-06-21	ST147
SRR15362813	2021-06-23	ST147
SRR15362816	2021-06-16	ST147
SRR15362818	2021-06-12	ST147
SRR15362819	2021-03-12	ST147
SRR15362820	2021-06-04	ST113
SRR15362821	2021-06-09	ST147
SRR15362822	2021-06-01	ST111
SRR15362823	2021-05-28	ST147
SRR15362825	2021-05-26	ST147
SRR15362827	2021-05-13	ST147
SRR15362829	2021-05-08	ST147
SRR15430970	2020-11-20	ST23
SRR15507485	2019-04-08	ST967
SRR15507628	2019-04-04	ST967
SRR15522854	2018-02-27	ST15
SRR15523574	2018-02-08	ST15
SRR15523595	2018-02-07	ST15
SRR15523596	2018-08-20	ST35
SRR15523651	2018-09-28	ST45
SRR15523739	2019-04-09	ST39
SRR15523799	2019-05-05	ST15
SRR15524174	2020-01-22	ST11
SRR15524183	2020-05-08	ST3393
SRR15524225	2020-05-13	ST65
SRR15524961	2020-09-11	ST412
SRR15584351	2015-04-06	ST11
SRR15584360	2015-02-06	ST5001
SRR15584389	2015-10-19	ST11
SRR15584391	2015-09-30	ST11
SRR15584392	2015-02-05	ST11
SRR15584395	2015-02-17	ST11
SRR15584396	2015-08-03	ST11
SRR15584411	2015-05-16	ST5001
SRR15676386	2021-06-14	ST1307
SRR15827814	2016-12-16	ST11
SRR15827816	2015-01-22	ST876
SRR15827817	2016-08-29	ST147
SRR15827823	2015-11-25	ST17
SRR15827825	2016-01-30	ST37
SRR15827829	2015-12-30	ST17
SRR15827831	2015-05-25	ST37
SRR15827846	2016-08-03	ST20
SRR15827853	2016-09-05	ST726
SRR15827854	2016-09-05	ST37
SRR15827855	2016-09-05	ST37
SRR15827905	2016-09-05	ST726
SRR15827906	2015-01-25	ST17
SRR15827908	2016-08-11	ST35
SRR15827917	2015-12-27	ST2938-1LV
SRR15827918	2016-01-20	ST2938
SRR15827919	2016-04-11	ST895
SRR15827925	2015-10-02	ST17
SRR15827933	2015-12-14	ST48
SRR15914412	2021-07-21	ST147
SRR15914413	2021-07-16	ST113
SRR15914415	2021-07-13	ST147
SRR15914416	2021-07-02	ST147
SRR15914419	2021-06-30	ST556
SRR15914420	2021-08-02	ST147-1LV
SRR15914421	2021-08-03	ST111
SRR15914422	2021-07-30	ST113
SRR15914423	2021-07-29	ST147-1LV
SRR15914424	2021-07-28	ST147
SRR15914427	2021-07-24	ST147
SRR15914428	2021-07-18	ST147
SRR15914429	2021-07-23	ST147
SRR15914430	2021-06-29	ST147
SRR15948201	2021-07-16	ST243
SRR15948218	2021-08-16	ST113
SRR15948219	2021-08-16	ST147
SRR15948220	2021-08-16	ST147
SRR15948221	2021-08-16	ST113
SRR15948223	2021-08-16	ST147
SRR15948233	2021-07-23	ST16
SRR15948234	2021-06-18	ST147
SRR15948235	2021-05-24	ST147
SRR15948236	2021-04-29	ST147
SRR16069088	2020-05-30	ST37
SRR16132303	2021-08-23	ST258
SRR16132305	2021-08-31	ST512
SRR16242760	2018-05-31	ST11
SRR16242761	2018-04-28	ST133
SRR16242762	2020-08-10	ST307
SRR16242763	2017-05-28	ST11
SRR16242764	2017-08-14	ST152
SRR16242765	2020-05-01	ST11
SRR16242766	2020-01-30	ST11
SRR16242767	2020-01-21	ST37
SRR16242768	2019-12-25	ST11
SRR16242769	2018-03-26	ST528
SRR16242770	2019-12-11	ST11
SRR16242772	2019-11-24	ST11
SRR16242773	2019-11-18	ST24
SRR16242774	2019-11-13	ST37
SRR16242775	2019-11-05	ST11
SRR16242776	2019-10-11	ST11
SRR16242777	2019-10-06	ST101
SRR16242779	2019-08-05	ST485
SRR16242781	2019-07-05	ST11
SRR16242782	2019-06-26	ST11
SRR16242783	2019-06-12	ST1537
SRR16242784	2019-06-10	ST11
SRR16242785	2019-06-09	ST29
SRR16242786	2019-05-06	ST11
SRR16242788	2019-04-29	ST11
SRR16242789	2019-04-27	ST101
SRR16242790	2019-04-19	ST11
SRR16242791	2019-03-27	ST11
SRR16242792	2019-03-20	ST15
SRR16242793	2019-03-16	ST11
SRR16242794	2019-03-12	ST11
SRR16242795	2019-03-06	ST11
SRR16242796	2019-03-04	ST11
SRR16242797	2019-03-03	ST24
SRR16242798	2019-02-28	ST11
SRR16242799	2019-02-15	ST11
SRR16242801	2019-01-31	ST11
SRR16242802	2018-01-25	ST11
SRR16242803	2019-01-25	ST25
SRR16242804	2019-01-14	ST11
SRR16242805	2019-04-17	ST11
SRR16242806	2018-11-16	ST15
SRR16242807	2018-10-17	ST323
SRR16242808	2018-09-27	ST11
SRR16242810	2018-07-27	ST11
SRR16242812	2018-06-27	ST11
SRR16242813	2019-03-24	ST11
SRR16242814	2017-11-23	ST11
SRR16308439	2019-06-18	ST551
SRR16308440	2019-06-17	ST45
SRR16308441	2019-06-14	ST551
SRR16308442	2019-06-04	ST551
SRR16308443	2019-05-28	ST551
SRR16308444	2019-05-27	ST551
SRR16308445	2019-07-09	ST405
SRR16308446	2019-05-23	ST551
SRR16308447	2019-07-09	ST950
SRR16308448	2019-07-09	ST405
SRR16308449	2019-07-09	ST405
SRR16308450	2019-07-04	ST551
SRR16308451	2019-07-03	ST405
SRR16308452	2019-07-03	ST45
SRR16308453	2019-07-02	ST45
SRR16308454	2019-07-02	ST45
SRR16308455	2019-07-02	ST950
SRR16308456	2019-07-02	ST405
SRR16308457	2019-05-21	ST551
SRR16308458	2019-07-01	ST551
SRR16308459	2019-07-01	ST551
SRR16308460	2019-06-30	ST950
SRR16308461	2019-06-28	ST950
SRR16308462	2019-06-27	ST551
SRR16308463	2019-06-25	ST45
SRR16308464	2019-06-25	ST405
SRR16308465	2019-06-20	ST405
SRR16308466	2019-06-19	ST405
SRR16308467	2019-06-18	ST405
SRR16308468	2019-05-20	ST551
SRR16308469	2019-05-14	ST551
SRR16315024	2021-08-11	ST395
SRR16315025	2021-08-11	ST395
SRR16315026	2021-08-11	ST395
SRR16315027	2021-08-11	ST395
SRR16315028	2021-08-11	ST395
SRR16315029	2021-08-11	ST395
SRR16315030	2021-08-11	ST395
SRR16315031	2021-08-11	ST395
SRR16315032	2021-08-11	ST395
SRR16373000	2020-05-15	ST11
SRR16373001	2020-05-15	ST11
SRR16373002	2020-05-15	ST11
SRR16373003	2020-05-15	ST11
SRR16373004	2020-05-15	ST11
SRR16373005	2020-05-15	ST11
SRR16373006	2020-05-15	ST11
SRR16373007	2020-05-15	ST11
SRR16373008	2020-05-15	ST11
SRR16373009	2020-05-15	ST11
SRR16373010	2020-05-15	ST11
SRR16373011	2020-05-15	ST11
SRR16373012	2020-05-15	ST11
SRR16373013	2020-05-15	ST11
SRR16373014	2020-05-15	ST11
SRR16464331	2021-08-01	ST5441
SRR16464334	2021-09-06	ST11
SRR16464335	2021-08-23	ST11
SRR16464336	2019-12-11	ST11
SRR16492614	2021-09-04	ST147
SRR16492615	2021-08-25	ST147
SRR16492616	2021-08-28	ST147
SRR16492617	2021-08-31	ST147-1LV
SRR16492618	2021-08-23	ST147
SRR16492619	2021-08-19	ST111
SRR16492622	2021-09-05	ST147
SRR16492624	2021-09-07	ST147
SRR16520589	2021-09-30	ST147
SRR16520591	2021-09-29	ST111
SRR16520592	2021-09-29	ST147
SRR16520593	2021-09-29	ST462
SRR16520608	2021-09-20	ST37
SRR16520640	2021-09-20	ST133
SRR16520650	2021-09-20	ST133
SRR16610162	2019-01-14	ST307
SRR16611538	2018-04-17	ST1303
SRR16611539	2018-04-17	ST1303
SRR16611540	2018-03-30	ST1303
SRR16611541	2018-03-30	ST1303
SRR16611542	2018-03-30	ST1303
SRR16611543	2018-03-26	ST1303
SRR16611544	2018-03-26	ST1303
SRR16611545	2018-03-26	ST1303
SRR16611546	2018-04-17	ST1303
SRR16820290	2021-10-19	ST133
SRR16820291	2021-10-18	ST147
SRR16820293	2021-10-18	ST307
SRR16820295	2021-10-18	ST147
SRR16820296	2021-10-18	ST147
SRR16820329	2021-10-13	ST147
SRR16820332	2021-09-30	ST258
SRR16820334	2021-09-20	ST15
SRR16820339	2021-10-04	ST147
SRR16820340	2021-10-04	ST147
SRR16847912	2019-08-24	ST1235
SRR16847915	2019-08-25	ST2648
SRR16847917	2019-08-25	ST43
SRR16847926	2019-08-25	ST1235
SRR16847933	2019-08-19	ST1235
SRR16847943	2019-08-18	ST461
SRR16847946	2019-08-19	ST45-1LV
SRR16847948	2019-08-18	ST1235
SRR16847949	2019-08-18	ST1235
SRR16847951	2019-08-05	ST1235
SRR16847968	2019-08-12	ST1235
SRR16847972	2019-08-11	ST45-1LV
SRR16847978	2019-09-01	ST485
SRR16847979	2019-09-23	ST39
SRR16847985	2019-09-23	ST268
SRR16847989	2019-09-23	ST188
SRR16847992	2019-09-23	ST1235
SRR16848002	2019-09-15	ST39
SRR16848004	2019-09-15	ST1235
SRR16848008	2019-09-15	ST1235
SRR16848013	2019-09-09	ST1235
SRR16848019	2019-09-09	ST2735
SRR16848023	2019-09-02	ST1235
SRR16848025	2019-09-02	ST43
SRR16848041	2019-09-02	ST1235
SRR16965767	2021-10-10	ST147
SRR16977013	2018-03-28	ST2856
SRR16977014	2018-03-13	ST2856
SRR16977015	2017-12-05	ST2856
SRR16977016	2018-01-28	ST2856
SRR16977017	2018-03-15	ST2856
SRR16977019	2018-02-10	ST2856
SRR16977030	2018-01-19	ST2856
SRR16977041	2018-03-08	ST2856
SRR16977042	2018-11-07	ST323
SRR16977043	2018-11-04	ST323
SRR16977049	2020-02-13	ST323
SRR16977050	2020-01-29	ST323
SRR16977051	2017-11-30	ST2856
SRR16977052	2017-10-16	ST2856
SRR16977053	2017-10-16	ST2856
SRR16977060	2021-10-26	ST111
SRR16977070	2021-10-26	ST1662-1LV
SRR16977082	2021-10-18	ST147
SRR17095222	2021-09-07	ST5093
SRR17095223	2021-09-07	ST5093
SRR17095224	2021-09-07	ST685
SRR17095225	2021-09-07	ST7
SRR17095227	2021-09-07	ST294
SRR17095228	2021-09-07	ST17
SRR17095229	2021-09-07	ST37
SRR17095230	2021-09-07	ST295
SRR17125445	2021-09-20	ST147
SRR17125446	2021-09-14	ST113
SRR17125450	2021-08-20	ST113
SRR17125452	2021-10-06	ST111
SRR17125453	2021-10-08	ST147
SRR17125454	2021-10-08	ST111
SRR17125455	2021-10-08	ST13
SRR17125458	2021-09-19	ST111
SRR17125460	2021-09-27	ST147
SRR17125461	2021-09-29	ST147
SRR17125464	2021-09-23	ST13
SRR17125465	2021-09-24	ST2648
SRR17125468	2021-09-17	ST147
SRR17125469	2021-09-18	ST147
SRR17167825	2021-10-16	ST147
SRR17167826	2021-10-27	ST147-1LV
SRR17167827	2021-10-20	ST147
SRR17167828	2021-10-26	ST147
SRR17167829	2021-10-23	ST147
SRR17167830	2021-10-30	ST111
SRR17167831	2021-10-31	ST13
SRR17167832	2021-11-03	ST147
SRR17167834	2021-10-16	ST111
SRR17167835	2021-10-15	ST111
SRR17167836	2021-11-05	ST147
SRR17167837	2021-11-05	ST147
SRR17179518	2019-01-01	ST383
SRR17179519	2019-01-01	ST383
SRR17179520	2019-01-01	ST15
SRR17179521	2019-01-01	ST147
SRR17194195	2017-03-30	ST35
SRR17194196	2017-03-30	ST35
SRR17194197	2017-03-30	ST35
SRR17212191	2016-08-22	ST441
SRR17212192	2016-08-22	ST441
SRR17212193	2016-08-22	ST441
SRR17250547	2021-11-22	ST13
SRR17250548	2021-11-22	ST13
SRR17250549	2021-11-22	ST113
SRR17250550	2021-11-22	ST147
SRR17250551	2021-11-22	ST111
SRR17250552	2021-11-22	ST111
SRR17250553	2021-11-22	ST111
SRR17250555	2021-11-09	ST258
SRR17250556	2021-10-23	ST258
SRR17250557	2021-11-09	ST15
SRR17250566	2021-11-22	ST133
SRR17250589	2021-11-18	ST70
SRR17250590	2021-11-16	ST13
SRR17250591	2021-11-16	ST13
SRR17250592	2021-10-15	ST258
SRR17250618	2021-10-11	ST15
SRR17250619	2021-10-15	ST258
SRR17250621	2021-10-12	ST307
SRR17250622	2021-10-15	ST258
SRR17250623	2021-10-29	ST15
SRR17250624	2021-10-12	ST15
SRR17250649	2021-12-06	ST993
SRR17250666	2021-10-06	ST111
SRR17255212	2017-07-05	ST147
SRR17255214	2017-05-13	ST147
SRR17255215	2017-05-13	ST147
SRR17255216	2017-05-13	ST147
SRR17255219	2017-04-05	ST147
SRR17255220	2017-04-05	ST147
SRR17255222	2016-12-01	ST15
SRR17255223	2016-12-01	ST15
SRR17255224	2016-12-01	ST15
SRR17255226	2016-09-09	ST392
SRR17255227	2016-09-09	ST392
SRR17255230	2016-08-18	ST395
SRR17255231	2016-08-18	ST395
SRR17255233	2016-07-04	ST2015-1LV
SRR17255234	2016-07-04	ST2015-1LV
SRR17255236	2015-12-06	ST2513
SRR17255237	2015-12-06	ST2513
SRR17255240	2015-09-08	ST101
SRR17255241	2015-09-08	ST101
SRR17255254	2017-08-28	ST147
SRR17255255	2017-08-28	ST147
SRR17255257	2017-07-05	ST147
SRR17255258	2017-07-05	ST147
SRR17285055	2017-09-12	ST23
SRR17285056	2015-02-10	ST23
SRR17285062	2017-02-20	ST23
SRR17285063	2015-02-07	ST23
SRR17301894	2015-08-06	ST788
SRR17301897	2015-04-07	ST14
SRR17301900	2015-03-07	ST307
SRR17301904	2015-07-15	ST22
SRR17301906	2015-06-02	ST34
SRR17301910	2015-07-31	ST17
SRR17301917	2016-01-04	ST11
SRR17301936	2016-01-13	ST11
SRR17301947	2015-12-18	ST834
SRR17301955	2015-05-19	ST1380
SRR17301956	2015-11-09	ST101
SRR17301964	2015-09-15	ST15
SRR17301965	2015-12-09	ST231
SRR17301974	2015-08-13	ST11
SRR17301975	2015-05-07	ST14
SRR17301979	2015-08-07	ST11
SRR17301980	2016-05-25	ST15
SRR17301991	2015-04-25	ST14
SRR17301994	2016-06-05	ST101
SRR17301996	2015-09-16	ST188
SRR17302005	2015-11-11	ST11
SRR17302006	2016-03-11	ST11
SRR17302011	2015-08-12	ST1243
SRR17302016	2015-12-26	ST147
SRR17302017	2015-08-04	ST11
SRR17302019	2015-11-07	ST268
SRR17302024	2015-06-12	ST11
SRR17302025	2016-05-26	ST1198
SRR17302030	2015-05-20	ST14
SRR17302032	2015-09-10	ST1429-1LV
SRR17302037	2016-04-12	ST15
SRR17302038	2015-07-29	ST147
SRR17302046	2015-02-26	ST231
SRR17302049	2016-05-24	ST3181
SRR17302053	2015-10-02	ST231
SRR17302077	2015-10-02	ST14
SRR17302085	2015-06-22	ST147
SRR17302114	2015-11-17	ST15
SRR17302116	2016-02-15	ST147-1LV
SRR17302136	2015-09-20	ST15
SRR17302138	2015-08-09	ST15
SRR17302145	2016-06-01	ST395
SRR17302148	2015-08-11	ST101
SRR17302155	2015-12-25	ST147
SRR17302156	2015-09-11	ST23
SRR17302159	2015-09-07	ST11
SRR17302160	2015-04-09	ST14
SRR17302172	2015-02-25	ST14
SRR17302174	2015-11-16	ST247
SRR17302189	2016-02-01	ST11
SRR17302194	2015-08-21	ST34
SRR17302202	2016-01-20	ST101
SRR17302204	2016-02-20	ST147
SRR17302206	2016-04-04	ST11
SRR17302207	2015-08-14	ST252
SRR17302211	2015-07-12	ST834
SRR17302212	2015-07-16	ST42
SRR17302214	2016-03-02	ST437
SRR17302224	2016-05-27	ST15
SRR17302228	2015-06-22	ST14
SRR17302230	2015-06-21	ST14
SRR17302233	2015-04-11	ST321
SRR17302236	2015-05-20	ST405
SRR17302241	2015-02-02	ST48
SRR17302242	2015-11-28	ST16
SRR17302244	2016-06-16	ST54
SRR17302248	2015-12-12	ST11
SRR17302256	2015-12-07	ST15
SRR17302257	2015-08-19	ST11
SRR17302268	2016-03-14	ST231
SRR17302273	2015-10-03	ST14
SRR17302274	2016-01-02	ST515-1LV
SRR17302286	2015-12-20	ST678
SRR17302289	2016-01-19	ST15
SRR17302298	2015-08-10	ST258
SRR17302304	2015-10-13	ST395
SRR17302307	2015-01-13	ST485
SRR17302310	2016-02-25	ST147-1LV
SRR17302311	2015-12-08	ST268
SRR17302313	2015-07-09	ST11
SRR17302315	2015-08-28	ST12
SRR17302320	2015-07-16	ST395
SRR17302323	2015-11-04	ST147
SRR17302328	2015-03-05	ST36
SRR17302335	2015-03-23	ST359
SRR17302338	2015-08-20	ST336
SRR17302340	2015-08-13	ST101
SRR17302344	2015-04-29	ST14
SRR17302347	2015-07-07	ST14
SRR17302359	2016-06-02	ST147
SRR17302361	2015-07-10	ST11
SRR17302370	2016-05-08	ST11
SRR17302371	2016-01-08	ST147
SRR17302372	2015-01-16	ST13
SRR17302377	2015-11-21	ST323
SRR17302382	2016-02-02	ST383
SRR17302392	2015-11-20	ST15
SRR17302398	2016-04-15	ST3321
SRR17302413	2015-08-25	ST17
SRR17302415	2015-07-01	ST258
SRR17302425	2016-05-30	ST834
SRR17302427	2015-07-23	ST1715-2LV
SRR17302433	2015-06-01	ST15
SRR17302434	2015-07-30	ST11
SRR17302439	2015-10-01	ST11
SRR17302442	2015-08-17	ST307
SRR17302444	2016-03-17	ST45
SRR17302448	2015-05-07	ST14
SRR17302451	2015-11-20	ST307
SRR17302459	2015-09-01	ST147
SRR17302461	2015-05-08	ST14
SRR17302469	2015-10-26	ST3321
SRR17302478	2015-05-27	ST1180
SRR17302483	2015-10-25	ST1380
SRR17302486	2015-02-19	ST16
SRR17302488	2016-05-26	ST353
SRR17302489	2015-02-05	ST922
SRR17302492	2015-07-06	ST377
SRR17302495	2015-08-12	ST395
SRR17302497	2016-01-07	ST101
SRR17302502	2015-08-20	ST11
SRR17302503	2015-08-31	ST464
SRR17302504	2015-08-29	ST11
SRR17302505	2015-05-10	ST4991-1LV
SRR17302506	2015-07-19	ST392
SRR17302507	2015-09-30	ST11
SRR17302508	2015-12-13	ST15
SRR17302509	2016-04-02	ST11
SRR17302513	2016-06-13	ST11
SRR17302522	2015-08-20	ST11
SRR17302527	2016-01-23	ST14
SRR17302528	2015-03-26	ST17
SRR17302530	2015-11-08	ST2098
SRR17302538	2015-12-07	ST231
SRR17302540	2015-10-06	ST11
SRR17302541	2015-07-21	ST14
SRR17302548	2015-09-12	ST12
SRR17302551	2015-03-17	ST45
SRR17302553	2015-02-05	ST11
SRR17302554	2015-08-11	ST12
SRR17302557	2016-01-31	ST405
SRR17302563	2015-11-08	ST11
SRR17302565	2015-12-04	ST29
SRR17302571	2015-11-20	ST437
SRR17302580	2015-10-16	ST14
SRR17302582	2015-01-19	ST13
SRR17302584	2015-11-23	ST14
SRR17302585	2015-11-28	ST15
SRR17302602	2015-07-15	ST395
SRR17302605	2015-09-25	ST11
SRR17302607	2015-07-27	ST437
SRR17302621	2015-07-15	ST152
SRR17302625	2016-06-02	ST530
SRR17302627	2016-01-07	ST45
SRR17302630	2016-02-11	ST15-1LV
SRR17302632	2015-09-15	ST25
SRR17302635	2015-03-04	ST11
SRR17302644	2015-09-03	ST14
SRR17302654	2015-03-25	ST11
SRR17302657	2015-04-10	ST14
SRR17302661	2015-12-01	ST25
SRR17302663	2016-02-23	ST11
SRR17302666	2015-08-17	ST416
SRR17302669	2015-02-02	ST11
SRR17302671	2015-08-26	ST11
SRR17302677	2016-01-08	ST16
SRR17302678	2015-06-11	ST5473-1LV
SRR17302679	2015-11-02	ST2217
SRR17302697	2015-12-09	ST3069
SRR17302700	2015-06-18	ST5473-1LV
SRR17302704	2015-02-02	ST11
SRR17302709	2015-01-29	ST2201
SRR17302714	2015-06-21	ST25
SRR17302718	2015-09-16	ST2791
SRR17302720	2016-02-23	ST11
SRR17302727	2015-08-10	ST307
SRR17302728	2015-04-29	ST11
SRR17302732	2015-11-19	ST14
SRR17302736	2015-03-06	ST14
SRR17302741	2015-07-24	ST101
SRR17302742	2015-05-11	ST464
SRR17302745	2015-03-06	ST661
SRR17302753	2015-05-13	ST323
SRR17302759	2015-12-20	ST395
SRR17302762	2016-01-06	ST11
SRR17302765	2015-01-09	ST231
SRR17302766	2015-11-23	ST147
SRR17302771	2015-03-17	ST392
SRR17302775	2015-12-03	ST34
SRR17302776	2016-02-20	ST14
SRR17302779	2015-02-12	ST11
SRR17302783	2016-03-01	ST11
SRR17302784	2016-02-23	ST11
SRR17302792	2015-11-28	ST25
SRR17302793	2015-09-09	ST17
SRR17302795	2016-03-23	ST5109-1LV
SRR17302810	2015-08-26	ST11
SRR17302811	2015-12-10	ST15
SRR17302812	2015-09-13	ST405
SRR17302814	2016-02-25	ST11
SRR17302815	2016-05-25	ST834
SRR17302816	2015-01-09	ST1842
SRR17302822	2016-01-04	ST147-1LV
SRR17302826	2015-09-04	ST231
SRR17302829	2016-05-24	ST307
SRR17302838	2015-07-05	ST405
SRR17302845	2015-07-29	ST14
SRR17302846	2016-04-25	ST107
SRR17302847	2015-07-18	ST258
SRR17302849	2015-02-17	ST15
SRR17302854	2015-10-30	ST231
SRR17302855	2015-10-01	ST383
SRR17302859	2016-04-13	ST14
SRR17302871	2016-06-20	ST834
SRR17302874	2016-04-05	ST11
SRR17302875	2015-08-04	ST34
SRR17302883	2015-07-31	ST395
SRR17302890	2016-06-13	ST2760
SRR17303126	2020-01-14	ST219
SRR17303546	2020-10-30	ST101
SRR17303547	2020-01-20	ST29
SRR17303548	2019-10-03	ST16
SRR17303553	2016-01-20	ST231
SRR17303555	2016-04-15	ST290
SRR17303556	2015-07-20	ST258
SRR17303559	2016-01-15	ST231
SRR17303564	2015-10-02	ST983
SRR17303568	2015-02-21	ST231
SRR17303573	2015-08-08	ST11
SRR17303574	2015-09-03	ST15
SRR17303576	2016-02-04	ST16
SRR17303579	2015-10-30	ST321
SRR17303596	2015-04-15	ST461
SRR17303597	2015-05-24	ST34
SRR17303605	2016-06-19	ST252
SRR17303622	2016-04-29	ST14
SRR17303628	2015-04-08	ST258
SRR17303629	2015-02-26	ST258
SRR17303634	2015-10-15	ST2975
SRR17303640	2016-05-26	ST16
SRR17303641	2016-04-21	ST15
SRR17303643	2015-05-19	ST11
SRR17303645	2015-11-26	ST437
SRR17303651	2015-08-12	ST11
SRR17303653	2015-05-19	ST11
SRR17303658	2015-07-19	ST258
SRR17303660	2016-04-11	ST15
SRR17303666	2015-12-10	ST11
SRR17303669	2015-06-09	ST11
SRR17303680	2015-07-17	ST258
SRR17303681	2015-02-23	ST34
SRR17303682	2015-08-17	ST45
SRR17303683	2015-05-22	ST15
SRR17303685	2015-08-27	ST11
SRR17303694	2015-03-09	ST14
SRR17303695	2015-12-24	ST307
SRR17303698	2015-07-14	ST11
SRR17303705	2015-04-08	ST515-1LV
SRR17303707	2015-05-20	ST11
SRR17303715	2016-06-13	ST48-1LV
SRR17303720	2015-08-22	ST1429-1LV
SRR17303721	2015-03-15	ST392
SRR17303722	2016-03-02	ST147
SRR17303723	2015-06-26	ST15
SRR17303725	2015-05-17	ST14
SRR17303728	2015-03-12	ST231
SRR17303729	2015-07-07	ST395
SRR17303733	2015-03-09	ST461
SRR17303736	2016-05-20	ST240
SRR17303743	2015-07-31	ST18-2LV
SRR17303746	2016-06-13	ST17
SRR17303749	2015-06-08	ST45
SRR17303757	2015-12-21	ST395
SRR17303762	2015-09-26	ST14
SRR17303768	2015-09-01	ST11
SRR17303771	2015-07-30	ST48
SRR17303772	2015-11-15	ST13
SRR17303777	2015-08-02	ST307
SRR17303780	2015-07-24	ST449
SRR17303789	2015-06-25	ST405
SRR17303802	2015-04-29	ST12
SRR17303820	2015-08-15	ST512
SRR17303828	2015-09-23	ST14
SRR17303831	2015-04-16	ST147
SRR17303835	2016-04-21	ST834
SRR17303850	2015-08-04	ST11
SRR17303851	2015-05-06	ST1916
SRR17303858	2015-10-04	ST273
SRR17303859	2015-03-24	ST45
SRR17303862	2015-04-15	ST11
SRR17303869	2015-11-27	ST12
SRR17303873	2015-08-04	ST14
SRR17303875	2015-02-23	ST147
SRR17303883	2015-04-24	ST11
SRR17303885	2015-12-08	ST11
SRR17303887	2015-12-30	ST268
SRR17303890	2015-01-02	ST14
SRR17303891	2016-04-05	ST11
SRR17303892	2016-05-26	ST16
SRR17303899	2015-03-04	ST11
SRR17303921	2015-09-01	ST11
SRR17303940	2015-11-24	ST101
SRR17303948	2015-12-18	ST231
SRR17303950	2015-12-14	ST14
SRR17303953	2015-07-22	ST11
SRR17303958	2016-03-29	ST11
SRR17303962	2015-12-14	ST11
SRR17303964	2015-08-31	ST231
SRR17303965	2015-02-07	ST661
SRR17303972	2015-02-23	ST16
SRR17303977	2015-05-08	ST147
SRR17303986	2015-12-18	ST716
SRR17303991	2015-06-27	ST11
SRR17303993	2015-09-15	ST258
SRR17304005	2016-02-01	ST11
SRR17304010	2015-09-19	ST15
SRR17304019	2015-06-19	ST11
SRR17304025	2016-01-04	ST14
SRR17304034	2015-09-21	ST231
SRR17304044	2016-02-21	ST15
SRR17304056	2016-04-10	ST253
SRR17304065	2015-10-19	ST37
SRR17304066	2015-11-09	ST15
SRR17304068	2016-02-21	ST307
SRR17304081	2015-01-19	ST323-1LV
SRR17304086	2015-12-31	ST15
SRR17304094	2016-06-10	ST231
SRR17304095	2015-05-07	ST14
SRR17304098	2015-11-27	ST105-1LV
SRR17304100	2015-07-29	ST11
SRR17304104	2015-03-03	ST11
SRR17304107	2015-01-29	ST15
SRR17304110	2015-09-10	ST395
SRR17304118	2015-06-01	ST12
SRR17304120	2016-05-25	ST383
SRR17304132	2015-11-06	ST834
SRR17304139	2016-01-06	ST37
SRR17304143	2015-01-22	ST323
SRR17304145	2016-04-25	ST258
SRR17304151	2015-07-15	ST45
SRR17304154	2016-02-11	ST14
