sampleid	samplingdate	ST
F1S1R1D1B3P4B02	2021-04-12	129
F1S1R1D1B3P4A07	2021-04-12	-
F1S1R1D1B3P4G02	2021-04-12	2
F1S1R1D1B3P5C04	2021-04-13	55
F1S1R1D1B3P4H08	2021-04-13	3
F1S1R1D1B3P5D04	2021-04-13	55
F1S1R1D1B3P4G07	2021-04-13	-
F1S1R1D1B3P4H11	2021-04-13	24
SH060521x1x56	2021-04-13	2
F1S1R1D1B3P4G01	2021-04-13	4
F1S1R1D1B3P4F03	2021-04-13	-
F1S1R1D1B3P4E04	2021-04-13	471
F1S1R1D1B3P4D05	2021-04-13	623
F1S1R1D1B3P4C03	2021-04-13	66
F1S1R1D1B3P4B12	2021-04-13	43
F1S1R1D1B3P4A12	2021-04-13	43
eco_bs_415	2021-04-13	-
SH060521x1x77	2021-04-13	815
SH060521x1x75	2021-04-13	4
SH060521x1x70	2021-04-13	21
SH060521x1x68	2021-04-13	-
F1S1R1D1B3P4G04	2021-04-13	3
F1S1R1D1B3P4B06	2021-04-14	-
F1S1R1D1B3P4B05	2021-04-14	43
F1S1R1D1B3P4B09	2021-04-14	-
F1S1R1D1B3P5B04	2021-04-14	1
F1S1R1D1B3P4F08	2021-04-14	33
F1S1R1D1B3P4F07	2021-04-14	355
F1S1R1D1B3P4F06	2021-04-14	33
F1S1R1D1B3P5C03	2021-04-14	-
F1S1R1D1B3P4E08	2021-04-14	86
F1S1R1D1B3P4E06	2021-04-14	43
F1S1R1D1B3P4E05	2021-04-14	8
F1S1R1D1B3P5C12	2021-04-14	3
F1S1R1D1B3P4D06	2021-04-14	58
F1S1R1D1B3P4H04	2021-04-14	895
F1S1R1D1B3P4C06	2021-04-14	10
F1S1R1D1B3P4H05	2021-04-14	3
F1S1R1D1B3P4A06	2021-04-14	88
F1S1R1D1B3P4C05	2021-04-14	43
F1S1R1D1B3P5F01	2021-04-14	868
SH060521x1x73	2021-04-14	2
SH060521x1x72	2021-04-14	519
SH060521x1x66	2021-04-14	53
SH060521x1x65	2021-04-14	3
SH060521x1x64	2021-04-14	817
F1S1R1D1B3P5E02	2021-04-15	26
F1S1R1D1B3P4A10	2021-04-15	29
F1S1R1D1B3P5E06	2021-04-15	43
F1S1R1D1B3P5E07	2021-04-15	2
F1S1R1D1B3P5C02	2021-04-15	21
F1S1R1D1B3P5B08	2021-04-15	1
F1S1R1D1B3P4A08	2021-04-15	44
F1S1R1D1B3P5E01	2021-04-15	66
F1S1R1D1B3P5F06	2021-04-15	29
F1S1R1D1B3P4C10	2021-04-15	-
SH060521x1x74	2021-04-15	43
SH060521x1x79	2021-04-15	43
SH060521x1x80	2021-04-15	33
SH060521x1x81	2021-04-15	3
F1S1R1D1B3P4E09	2021-04-15	3
SH060521x1x96	2021-04-15	43
SH060521x1x85	2021-04-15	1
SH060521x1x86	2021-04-15	43
F1S1R1D1B3P4C09	2021-04-15	74
F1S1R1D1B3P4D09	2021-04-15	74
F1S1R1D1B3P4H09	2021-04-15	1
F1S1R1D1B3P5E10	2021-04-16	52
F1S1R1D1B3P5D07	2021-04-16	506
F1S1R1D1B3P4H10	2021-04-16	-
F1S1R1D1B3P5C09	2021-04-16	519
F1S1R1D1B3P5C07	2021-04-16	3
F1S1R1D1B3P5C06	2021-04-16	36
F1S1R1D1B3P4F10	2021-04-16	88
F1S1R1D1B3P5B07	2021-04-16	-
F1S1R1D1B3P5B06	2021-04-16	1
F1S1R1D1B3P5F02	2021-04-16	4
F1S1R1D1B3P5B03	2021-04-16	35
F1S1R1D1B3P5D06	2021-04-16	366
F1S1R1D1B4P1F04	2021-04-16	53
F1S1R1D1B3P5G05	2021-04-16	86
F1S1R1D1B3P4A11	2021-04-16	304
F1S1R1D1B3P5H01	2021-04-16	43
F1S1R1D1B3P5H05	2021-04-16	86
F1S1R1D1B3P5H08	2021-04-16	35
SH060521x1x78	2021-04-16	4
SH060521x1x89	2021-04-16	-
SH060521x1x90	2021-04-16	43
F1S1R1D1B4P1D02	2021-04-17	-
SH060521x1x88	2021-04-17	43
F1S1R1D1B4P1C02	2021-04-17	-
SH060521x1x95	2021-04-17	221
F1S1R1D1B3P5A03	2021-04-17	-
F1S1R1D1B3P5B11	2021-04-18	129
F1S1R1D1B4P1C04	2021-04-18	22
F1S1R1D1B4P1E07	2021-04-18	32
F1S1R1D1B4P1F01	2021-04-18	34
SH060521x1x91	2021-04-18	1
F1S1R1D1B4P1E04	2021-04-18	43
F1S1R1D1B3P5E05	2021-04-18	129
F1S1R1D1B3P5E11	2021-04-18	-
SH060521x1x94	2021-04-19	-
SH060521x1x92	2021-04-19	7
SH060521x2x02	2021-04-19	658
F1S1R1D1B4P1D06	2021-04-19	86
SH060521x2x03	2021-04-19	-
SH060521x2x07	2021-04-19	53
SH060521x2x08	2021-04-19	53
SH060521x2x09	2021-04-19	3
F1S1R1D1B4P1D05	2021-04-19	-
SH060521x1x93	2021-04-19	53
F1S1R1D1B4P1E02	2021-04-19	53
F1S1R1D1B4P1E05	2021-04-19	86
F1S1R1D1B4P1B08	2021-04-19	53
F1S1R1D1B3P5G07	2021-04-19	4
F1S1R1D1B4P1F05	2021-04-19	86
F1S1R1D1B4P1A05	2021-04-19	-
F1S1R1D1B4P3E04	2021-04-19	33
F1S1R1D1B3P5D10	2021-04-19	4
F1S1R1D1B4P1B04	2021-04-19	-
F1S1R1D1B4P1B05	2021-04-19	-
F1S1R1D1B4P1D04	2021-04-19	678
F1S1R1D1B4P1E06	2021-04-19	86
F1S1R1D1B4P1G05	2021-04-19	3
F1S1R1D1B4P1G03	2021-04-19	55
F1S1R1D1B4P1C05	2021-04-19	30
F1S1R1D1B4P1C08	2021-04-19	55
F1S1R1D1B3P5F11	2021-04-19	82
F1S1R1D1B4P1D03	2021-04-19	678
F1S1R1D1B3P5A11	2021-04-19	678
F1S1R1D1B4P1H06	2021-04-20	-
F1S1R1D1B4P1H03	2021-04-20	53
F1S1R1D1B4P1F08	2021-04-20	3
F1S1R1D1B4P1G08	2021-04-20	535
F1S1R1D1B4P1F03	2021-04-20	86
F1S1R1D1B4P2A05	2021-04-20	-
F1S1R1D1B4P2F04	2021-04-20	221
F1S1R1D1B4P2G02	2021-04-20	3
F1S1R1D1B4P1A03	2021-04-20	-
F1S1R1D1B4P1A04	2021-04-20	4
F1S1R1D1B4P1B07	2021-04-20	527
SH060521x2x24	2021-04-20	-
SH060521x2x20	2021-04-20	338
SH060521x2x13	2021-04-20	732
SH060521x2x11	2021-04-20	3
SH060521x2x10	2021-04-20	10
F1S1R1D1B4P2D04	2021-04-20	8
F1S1R1D1B4P2H04	2021-04-20	843
F1S1R1D1B4P1A12	2021-04-21	506
F1S1R1D1B4P1B09	2021-04-21	4
F1S1R1D1B4P1B12	2021-04-21	66
F1S1R1D1B4P1D09	2021-04-21	43
SH060521x2x29	2021-04-21	51
F1S1R1D1B4P2H03	2021-04-21	-
F1S1R1D1B4P2F02	2021-04-21	1
F1S1R1D1B4P2E05	2021-04-21	355
F1S1R1D1B4P2E02	2021-04-21	1
F1S1R1D1B4P2D06	2021-04-21	44
F1S1R1D1B4P2D02	2021-04-21	44
SH060521x2x28	2021-04-21	-
SH060521x2x27	2021-04-21	1
F1S1R1D1B4P2C05	2021-04-21	355
SH060521x2x26	2021-04-21	36
SH060521x2x25	2021-04-21	36
SH060521x2x18	2021-04-21	3
F1S1R1D1B4P2G04	2021-04-21	197
F1S1R1D1B4P2A03	2021-04-21	26
SH060521x2x16	2021-04-21	-
SH060521x2x15	2021-04-21	2
SH060521x2x58	2021-04-22	3
F1S1R1D1B4P1F12	2021-04-22	3
F1S1R1D1B4P1F09	2021-04-22	129
F1S1R1D1B4P2F03	2021-04-22	4
F1S1R1D1B4P1G09	2021-04-22	129
SH060521x2x41	2021-04-22	404
SH060521x2x40	2021-04-22	2
SH060521x2x14	2021-04-22	43
SH060521x2x37	2021-04-22	43
F1S1R1D1B4P1G11	2021-04-22	86
SH060521x2x34	2021-04-22	1
F1S1R1D1B4P1D12	2021-04-22	3
F1S1R1D1B4P1F11	2021-04-22	3
F1S1R1D1B4P2D03	2021-04-22	-
SH060521x2x30	2021-04-22	43
F1S1R1D1B4P1E10	2021-04-22	-
F1S1R1D1B4P2G03	2021-04-22	479
F1S1R1D1B4P1B10	2021-04-22	53
F1S1R1D1B4P2A01	2021-04-22	1084
F1S1R1D1B4P2A04	2021-04-22	53
SH060521x2x19	2021-04-22	9
F1S1R1D1B4P1C12	2021-04-22	1
F1S1R1D1B4P2C04	2021-04-22	3
F1S1R1D1B4P2C01	2021-04-22	2
SH060521x2x32	2021-04-23	4
F1S1R1D1B4P2G07	2021-04-23	43
F1S1R1D1B4P2H05	2021-04-23	26
F1S1R1D1B4P3B05	2021-04-23	33
F1S1R1D1B4P3A01	2021-04-23	-
SH060521x2x31	2021-04-23	3
SH060521x2x42	2021-04-23	1
F1S1R1D1B4P2H07	2021-04-23	4
F1S1R1D1B4P1A11	2021-04-23	678
F1S1R1D1B4P2F05	2021-04-23	24
F1S1R1D1B4P1C11	2021-04-23	53
F1S1R1D1B4P2C09	2021-04-23	-
F1S1R1D1B4P2E03	2021-04-23	86
F1S1R1D1B4P2E07	2021-04-23	27
F1S1R1D1B4P2C08	2021-04-23	649
F1S1R1D1B4P2C06	2021-04-23	43
F1S1R1D1B4P2B09	2021-04-23	86
F1S1R1D1B4P2D07	2021-04-23	4
F1S1R1D1B4P2A08	2021-04-23	649
F1S1R1D1B4P1H11	2021-04-23	86
F1S1R1D1B4P1E11	2021-04-23	3
F1S1R1D1B4P1G10	2021-04-23	-
F1S1R1D1B4P2F07	2021-04-23	53
F1S1R1D1B4P2B08	2021-04-23	86
SH060521x2x49	2021-04-24	4
SH020921x1x51	2021-04-24	43
SH060521x2x50	2021-04-24	43
F1S1R1D1B4P3E01	2021-04-24	-
F1S1R1D1B4P2C10	2021-04-24	4
F1S1R1D1B4P2B11	2021-04-24	868
F1S1R1D1B4P2G09	2021-04-24	-
F1S1R1D1B4P2F09	2021-04-24	10
F1S1R1D1B4P2H08	2021-04-24	455
F1S1R1D1B4P2D09	2021-04-24	466
SH060521x2x44	2021-04-24	53
F1S1R1D1B4P2E09	2021-04-24	78
SH060521x2x47	2021-04-24	3
F1S1R1D1B4P2E08	2021-04-24	466
SH060521x2x33	2021-04-24	53
F1S1R1D1B4P3G06	2021-04-25	2
F1S1R1D1B4P3C03	2021-04-25	479
F1S1R1D1B4P2D12	2021-04-25	43
F1S1R1D1B4P3A07	2021-04-25	2
F1S1R1D1B4P3A04	2021-04-25	487
F1S1R1D1B4P2E10	2021-04-25	638
F1S1R1D1B4P2D10	2021-04-25	-
F1S1R1D1B4P2E12	2021-04-25	43
F1S1R1D1B4P2F08	2021-04-25	35
F1S1R1D1B4P3C08	2021-04-25	479
SH060521x2x68	2021-04-25	-
SH060521x2x66	2021-04-25	2
SH060521x2x48	2021-04-25	26
SH060521x2x57	2021-04-26	24
F1S1R1D1B4P3A03	2021-04-26	58
F1S1R1D1B4P3D03	2021-04-26	30
F1S1R1D1B4P2H12	2021-04-26	-
F1S1R1D1B4P2H10	2021-04-26	3
F1S1R1D1B4P3E03	2021-04-26	30
F1S1R1D1B4P2C11	2021-04-26	58
F1S1R1D1B4P3F03	2021-04-26	30
F1S1R1D1B4P3F04	2021-04-26	10
F1S1R1D1B4P2H09	2021-04-26	-
F1S1R1D1B4P3F09	2021-04-26	26
F1S1R1D1B4P3G02	2021-04-26	36
F1S1R1D1B4P3G09	2021-04-26	-
SH060521x2x71	2021-04-26	1
SH060521x2x46	2021-04-26	728
F1S1R1D1B4P3C01	2021-04-26	43
F1S1R1D1B4P3D02	2021-04-26	-
F1S1R1D1B4P3B03	2021-04-26	88
SH060521x2x45	2021-04-26	87
SH060521x2x83	2021-04-26	43
SH060521x2x77	2021-04-27	3
SH030621x2x14_A00559	2021-04-27	61
SH030621x1x85	2021-04-27	-
F1S1R1D1B4P4A05	2021-04-27	43
F1S1R1D1B4P4G05	2021-04-27	950
F1S1R1D1B4P3G01	2021-04-27	494
F1S1R1D1B4P3C09	2021-04-27	999
F1S1R1D1B4P4G04	2021-04-27	-
F1S1R1D1B4P3G03	2021-04-27	22
F1S1R1D1B4P3C02	2021-04-27	43
F1S1R1D1B4P3G07	2021-04-27	2
F1S1R1D1B4P3C11	2021-04-27	950
F1S1R1D1B4P3H01	2021-04-27	22
F1S1R1D1B4P3H03	2021-04-27	2
F1S1R1D1B4P4E07	2021-04-27	53
F1S1R1D1B4P3H04	2021-04-27	43
F1S1R1D1B4P3H05	2021-04-27	-
F1S1R1D1B4P3F06	2021-04-27	-
F1S1R1D1B4P3B08	2021-04-27	-
F1S1R1D1B4P3B06	2021-04-27	-
F1S1R1D1B4P3E09	2021-04-27	39
F1S1R1D1B4P3B02	2021-04-27	3
SH060521x2x69	2021-04-27	882
F1S1R1D1B4P4H04	2021-04-27	404
SH060521x2x65	2021-04-27	43
SH060521x2x64	2021-04-27	24
F1S1R1D1B4P3A08	2021-04-27	4
SH060521x2x61	2021-04-27	404
F1S1R1D1B4P3A02	2021-04-27	39
SH060521x2x55	2021-04-27	1
F1S1R1D1B4P3D12	2021-04-27	48
F1S1R1D1B4P4H03	2021-04-27	404
F1S1R1D1B4P3C12	2021-04-27	6
SH060521x2x95	2021-04-27	-
SH060521x2x60	2021-04-27	-
F1S1R1D1B4P3B12	2021-04-27	-
F1S1R1D1B4P4G03	2021-04-28	51
F1S1R1D1B4P4B05	2021-04-28	48
F1S1R1D1B4P4B02	2021-04-28	221
F1S1R1D1B4P4C05	2021-04-28	-
F1S1R1D1B4P4A04	2021-04-28	64
F1S1R1D1B4P3C04	2021-04-28	-
F1S1R1D1B4P3H07	2021-04-28	221
SH030621x2x15_A00559	2021-04-28	-
SH060521x2x81	2021-04-28	16
SH060521x2x80	2021-04-28	129
SH060521x2x76	2021-04-28	323
SH060521x2x75	2021-04-28	757
SH060521x2x74	2021-04-28	27
SH060521x2x63	2021-04-28	-
SH060521x2x62	2021-04-28	26
F1S1R1D1B4P4D05	2021-04-28	4
F1S1R1D1B4P3D06	2021-04-28	1018
F1S1R1D1B4P4F04	2021-04-28	3
F1S1R1D1B4P3F08	2021-04-28	375
F1S1R1D1B4P4E04	2021-04-28	53
F1S1R1D1B4P4B01	2021-04-29	10
F1S1R1D1B4P4F03	2021-04-29	4
F1S1R1D1B4P4C02	2021-04-29	506
SH010621x1x40	2021-04-29	35
F1S1R1D1B4P4D02	2021-04-29	-
F1S1R1D1B4P4E03	2021-04-29	24
F1S1R1D1B4P4G01	2021-04-29	292
F1S1R1D1B4P4E02	2021-04-29	1095
F1S1R1D1B4P4F05	2021-04-29	9
F1S1R1D1B4P4A10	2021-04-29	73
F1S1R1D1B4P4A02	2021-04-29	-
F1S1R1D1B4P4G02	2021-04-29	34
SH010621x1x12	2021-04-29	506
SH010621x1x11	2021-04-29	-
SH010621x1x27	2021-04-29	3
SH010621x1x29	2021-04-29	692
F1S1R1D1B4P3H12	2021-04-29	87
SH060521x2x78	2021-04-29	4
SH060521x2x96	2021-04-29	960
F1S1R1D1B4P3B10	2021-04-29	722
SH060521x2x79	2021-04-29	404
F1S1R1D1B4P4A01	2021-04-29	87
F1S1R1D1B4P4H10	2021-04-30	19
F1S1R1D1B4P4F09	2021-04-30	39
SH060521x2x94	2021-04-30	33
F1S1R1D1B4P4H01	2021-04-30	57
F1S1R1D1B4P5H03	2021-04-30	-
SH010621x1x42	2021-04-30	24
F1S1R1D1B4P4G09	2021-04-30	4
F1S1R1D1B4P4D08	2021-04-30	1
F1S1R1D1B4P4E01	2021-04-30	24
F1S1R1D1B4P4D01	2021-04-30	22
F1S1R1D1B4P4B04	2021-04-30	78
F1S1R1D1B4P4B06	2021-04-30	375
F1S1R1D1B4P5D01	2021-04-30	1
SH010621x1x26	2021-04-30	-
F1S1R1D1B4P4C04	2021-04-30	304
F1S1R1D1B4P4C01	2021-04-30	3
F1S1R1D1B4P4C08	2021-04-30	-
SH010621x1x08	2021-05-01	3
F1S1R1D1B4P5F02	2021-05-01	24
SH010621x1x28	2021-05-01	-
F1S1R1D1B4P4B10	2021-05-01	4
F1S1R1D1B4P4C10	2021-05-01	4
SH010621x1x13	2021-05-01	620
SH010621x1x31	2021-05-01	34
F1S1R1D1B4P4A06	2021-05-01	446
SH030621x1x40	2021-05-01	44
SH030621x1x39	2021-05-01	44
F1S1R1D1B4P4E08	2021-05-01	-
F1S1R1D1B4P5E01	2021-05-01	53
SH010621x1x83	2021-05-02	694
F1S1R1D1B4P4B09	2021-05-02	466
F1S1R1D1B4P4A09	2021-05-02	34
F1S1R1D1B4P4F08	2021-05-02	4
F1S1R1D1B4P5A01	2021-05-02	3
SH010621x1x32	2021-05-02	908
F1S1R1D1B4P4G07	2021-05-02	4
SH010621x1x24	2021-05-02	39
F1S1R1D1B4P5G08	2021-05-02	129
SH010621x1x14	2021-05-02	4
F1S1R1D1B4P5D03	2021-05-02	34
F1S1R1D1B4P5B03	2021-05-02	732
SH010621x1x09	2021-05-02	4
F1S1R1D1B4P5B01	2021-05-02	4
F1S1R1D1B4P5A02	2021-05-02	10
SH010621x1x03	2021-05-02	-
F1S1R1D1B4P4A11	2021-05-03	-
F1S1R1D1B4P5E02	2021-05-03	745
F1S1R1D1B4P5E04	2021-05-03	-
F1S1R1D1B4P5F08	2021-05-03	4
F1S1R1D1B4P5F01	2021-05-03	-
F1S1R1D1B4P5G12	2021-05-03	956
F1S1R1D1B4P5G05	2021-05-03	43
F1S1R1D1B4P5E08	2021-05-03	1
SH010621x1x10	2021-05-03	24
F1S1R1D1B4P5E05	2021-05-03	1
SH010621x1x05	2021-05-03	129
SH010621x1x04	2021-05-03	52
F1S1R1D1B4P5G01	2021-05-03	7
F1S1R1D1B4P5D08	2021-05-03	3
F1S1R1D1B4P5D05	2021-05-03	1
F1S1R1D1B4P5F09	2021-05-03	-
F1S1R1D1B4P5A04	2021-05-03	4
F1S1R1D1B4P5A05	2021-05-03	4
F1S1R1D1B4P5A08	2021-05-03	4
F1S1R1D1B4P5B02	2021-05-03	355
F1S1R1D1B4P4D11	2021-05-03	-
F1S1R1D1B4P5B07	2021-05-03	3
F1S1R1D1B4P5B08	2021-05-03	88
F1S1R1D1B4P5D06	2021-05-03	1
F1S1R1D1B4P5F10	2021-05-03	722
F1S1R1D1B4P5C01	2021-05-03	3
F1S1R1D1B4P5C02	2021-05-03	202
F1S1R1D1B4P5C07	2021-05-03	620
F1S1R1D1B4P5C08	2021-05-03	620
F1S1R1D1B4P5H06	2021-05-03	-
F1S1R1D1B4P5H02	2021-05-03	956
F1S1R1D1B4P5D02	2021-05-03	745
F1S1R1D2B1P1A03	2021-05-04	43
F1S1R1D2B1P1E03	2021-05-04	1
F1S1R1D2B1P1E05	2021-05-04	620
F1S1R1D2B1P1G04	2021-05-04	506
SH010621x1x55	2021-05-04	43
F1S1R1D2B1P1A01	2021-05-04	221
F1S1R1D2B1P1A05	2021-05-04	506
SH010621x1x30	2021-05-04	4
F1S1R1D1B4P5E12	2021-05-04	24
SH010621x1x18	2021-05-04	48
SH010621x1x19	2021-05-04	355
SH010621x1x20	2021-05-04	27
F1S1R1D1B4P5D12	2021-05-04	24
F1S1R1D1B4P5C12	2021-05-04	-
F1S1R1D1B4P5C10	2021-05-04	132
F1S1R1D1B4P5B12	2021-05-04	78
F1S1R1D1B4P5B11	2021-05-04	221
F1S1R1D1B4P5B10	2021-05-04	132
F1S1R1D1B4P5B06	2021-05-04	43
F1S1R1D1B4P5A12	2021-05-04	24
F1S1R1D1B4P5A10	2021-05-04	132
F1S1R1D1B4P5F12	2021-05-04	24
F1S1R1D2B1P1H04	2021-05-04	506
SH010621x1x57	2021-05-05	-
F1S1R1D2B1P2F01	2021-05-05	73
F1S1R1D1B4P5E11	2021-05-05	53
F1S1R1D1B4P5F11	2021-05-05	702
F1S1R1D1B4P5G11	2021-05-05	-
F1S1R1D2B1P1A04	2021-05-05	6
F1S1R1D2B1P1A06	2021-05-05	3
F1S1R1D2B1P1B01	2021-05-05	1095
F1S1R1D2B1P1B11	2021-05-05	722
F1S1R1D2B1P1C02	2021-05-05	4
F1S1R1D2B1P1C05	2021-05-05	-
F1S1R1D2B1P1D01	2021-05-05	506
F1S1R1D2B1P1D02	2021-05-05	4
F1S1R1D2B1P1E07	2021-05-05	736
F1S1R1D2B1P1F02	2021-05-05	4
F1S1R1D2B1P1G01	2021-05-05	736
F1S1R1D2B1P1H05	2021-05-05	2
SH010621x1x33	2021-05-05	44
SH010621x1x38	2021-05-05	8
F1S1R1D2B1P1C08	2021-05-05	43
SH010621x1x52	2021-05-05	-
SH010621x1x53	2021-05-05	359
SH010621x1x43	2021-05-05	53
F1S1R1D1B4P5B09	2021-05-05	-
F1S1R1D1B4P5A09	2021-05-05	446
F1S1R1D1B4P5C09	2021-05-05	43
F1S1R1D2B1P1E02	2021-05-06	2
F1S1R1D2B1P1F01	2021-05-06	33
F1S1R1D2B1P1F08	2021-05-06	-
F1S1R1D2B1P1G07	2021-05-06	-
F1S1R1D2B1P1D05	2021-05-06	2
SH010621x1x72	2021-05-06	48
SH010621x1x67	2021-05-06	8
F1S1R1D2B1P1H03	2021-05-06	-
F1S1R1D2B1P1H01	2021-05-06	4
SH010621x1x65	2021-05-06	1
SH010621x1x50	2021-05-06	-
SH010621x1x51	2021-05-06	-
SH010621x1x54	2021-05-06	22
F1S1R1D2B1P1C06	2021-05-06	6
F1S1R1D2B1P1F05	2021-05-06	-
SH010621x1x64	2021-05-06	221
SH010621x1x62	2021-05-06	455
F1S1R1D2B1P1H08	2021-05-07	3
F1S1R1D2B1P2C04	2021-05-07	3
F1S1R1D2B1P1H06	2021-05-07	4
F1S1R1D2B1P2E01	2021-05-07	43
F1S1R1D2B1P1G11	2021-05-07	2
F1S1R1D2B1P1F11	2021-05-07	567
F1S1R1D2B1P1F10	2021-05-07	494
F1S1R1D2B1P1F09	2021-05-07	-
F1S1R1D2B1P1G12	2021-05-07	-
F1S1R1D2B1P1G06	2021-05-07	950
SH010621x1x48	2021-05-07	3
F1S1R1D2B1P1E11	2021-05-07	567
SH010621x1x61	2021-05-07	3
F1S1R1D2B1P1A07	2021-05-07	10
F1S1R1D2B1P1A11	2021-05-07	-
F1S1R1D2B1P1B07	2021-05-07	53
SH010621x1x63	2021-05-07	36
F1S1R1D2B1P1C07	2021-05-07	1
F1S1R1D2B1P2G04	2021-05-07	4
F1S1R1D2B1P1C09	2021-05-07	43
F1S1R1D2B1P1C10	2021-05-07	43
F1S1R1D2B1P1D07	2021-05-07	-
F1S1R1D2B1P1D11	2021-05-07	43
F1S1R1D2B1P1D12	2021-05-07	-
F1S1R1D2B1P1E06	2021-05-07	3
SH010621x1x75	2021-05-07	506
F1S1R1D2B1P1E10	2021-05-07	43
F1S1R1D2B1P1F07	2021-05-07	-
F1S1R1D2B1P2H04	2021-05-07	35
F1S1R1D2B1P2C07	2021-05-07	43
F1S1R1D2B1P3G08	2021-05-08	950
SH010621x1x58	2021-05-08	4
SH010621x1x59	2021-05-08	893
F1S1R1D2B1P1C12	2021-05-08	82
SH010621x1x70	2021-05-08	73
F1S1R1D2B1P2D05	2021-05-08	26
SH010621x1x82	2021-05-08	3
F1S1R1D2B1P2C11	2021-05-08	43
SH010621x1x81	2021-05-08	-
F1S1R1D2B1P1B09	2021-05-08	43
F1S1R1D2B1P2C05	2021-05-08	-
F1S1R1D2B1P2B10	2021-05-08	26
F1S1R1D2B1P2B07	2021-05-08	74
F1S1R1D2B1P2H05	2021-05-09	43
F1S1R1D2B1P2A08	2021-05-09	375
F1S1R1D2B1P2B05	2021-05-09	9
F1S1R1D2B1P2B06	2021-05-09	-
F1S1R1D2B1P2A05	2021-05-09	88
F1S1R1D2B1P1E12	2021-05-09	-
F1S1R1D2B1P2D01	2021-05-09	-
F1S1R1D2B1P2F03	2021-05-09	-
F1S1R1D2B1P2E11	2021-05-09	-
F1S1R1D2B1P2D11	2021-05-09	-
F1S1R1D2B1P1C11	2021-05-09	1
F1S1R1D2B1P2D06	2021-05-09	-
F1S1R1D2B1P2C06	2021-05-09	35
F1S1R1D2B1P2F05	2021-05-09	-
F1S1R1D2B1P2G05	2021-05-09	3
F1S1R1D2B1P2A04	2021-05-09	53
SH010621x1x73	2021-05-09	-
SH010621x1x74	2021-05-09	-
SH010621x1x68	2021-05-09	24
F1S1R1D2B1P2B11	2021-05-10	479
F1S1R1D2B1P4F07	2021-05-10	4
F1S1R1D2B1P2C10	2021-05-10	43
SH010621x1x85	2021-05-10	-
F1S1R1D2B1P2D03	2021-05-10	43
F1S1R1D2B1P2F06	2021-05-10	4
F1S1R1D2B1P2D04	2021-05-10	-
F1S1R1D2B1P2D10	2021-05-10	3
SH010621x1x95	2021-05-10	4
F1S1R1D2B1P2E04	2021-05-10	-
F1S1R1D2B1P4E07	2021-05-10	4
F1S1R1D2B1P2A11	2021-05-10	43
F1S1R1D2B1P2F04	2021-05-10	53
F1S1R1D2B1P3E10	2021-05-10	708
F1S1R1D2B1P2F10	2021-05-10	44
F1S1R1D2B1P2E07	2021-05-10	479
F1S1R1D2B1P4D07	2021-05-10	4
F1S1R1D2B1P2G03	2021-05-10	479
F1S1R1D2B1P2H10	2021-05-10	43
F1S1R1D2B1P3A05	2021-05-10	53
F1S1R1D2B1P2G10	2021-05-10	43
SH010621x1x89	2021-05-11	6
F1S1R1D2B1P3E05	2021-05-11	658
F1S1R1D2B1P3B02	2021-05-11	53
SH010621x1x86	2021-05-11	-
F1S1R1D2B1P3H08	2021-05-11	88
F1S1R1D2B1P2H09	2021-05-11	33
F1S1R1D2B1P4D01	2021-05-11	4
F1S1R1D2B1P3D10	2021-05-11	-
F1S1R1D2B1P4B01	2021-05-11	4
F1S1R1D2B1P2G09	2021-05-11	506
F1S1R1D2B1P3C04	2021-05-11	36
F1S1R1D2B1P2E09	2021-05-11	43
SH010621x2x07	2021-05-11	388
F1S1R1D2B1P2E12	2021-05-11	-
SH010621x2x04	2021-05-11	3
F1S1R1D2B1P4C01	2021-05-11	43
SH010621x2x08	2021-05-11	4
F1S1R1D2B1P2D09	2021-05-11	43
SH010621x1x91	2021-05-12	43
SH010621x2x26	2021-05-12	-
SH010621x1x96	2021-05-12	-
SH010621x1x92	2021-05-12	305
SH010621x2x24	2021-05-12	6
F1S1R1D2B1P3G02	2021-05-12	506
SH010621x2x32	2021-05-12	304
F1S1R1D2B1P3H04	2021-05-12	29
SH010621x2x09	2021-05-12	43
SH010621x2x05	2021-05-12	-
SH010621x2x23	2021-05-12	305
F1S1R1D2B1P3H09	2021-05-12	33
F1S1R1D2B1P4A01	2021-05-12	732
F1S1R1D2B1P3F04	2021-05-12	-
F1S1R1D2B1P4F01	2021-05-12	221
F1S1R1D2B1P3F02	2021-05-12	506
F1S1R1D2B1P3C10	2021-05-12	37
F1S1R1D2B1P3F01	2021-05-12	53
F1S1R1D2B1P3E12	2021-05-12	475
F1S1R1D2B1P3E04	2021-05-12	24
F1S1R1D2B1P3E01	2021-05-12	43
F1S1R1D2B1P3F06	2021-05-12	29
F1S1R1D2B1P3D06	2021-05-12	36
F1S1R1D2B1P3D04	2021-05-12	4
F1S1R1D2B1P2D12	2021-05-12	58
F1S1R1D2B1P2F12	2021-05-12	53
F1S1R1D2B1P2G12	2021-05-12	10
F1S1R1D2B1P3C02	2021-05-12	702
F1S1R1D2B1P3B10	2021-05-12	37
F1S1R1D2B1P2F11	2021-05-12	33
F1S1R1D2B1P3A07	2021-05-12	966
F1S1R1D2B1P2H11	2021-05-13	33
F1S1R1D2B1P3G07	2021-05-13	3
F1S1R1D2B1P4H01	2021-05-13	4
F1S1R1D2B1P3C11	2021-05-13	399
